account,shares,pre_dai,post_dai
0xE2EFFFfE7fB7015862cBb1958A30967e48030cFF,"13,696.851322337300000000","15,204.303721781800000000","10,388.946659467500000000"
0xaB2c4F9E31f427f8D5723d48879B963C05154Ec3,"13,626.929865596700000000","15,126.686827217100000000","10,335.911821946500000000"
0x15384cADf0722EB998a5a935ec80EC5928338A1c,"13,618.548522678100000000","15,117.383047806000000000","10,329.554643755200000000"
0x8E4807A00401173871b8f74513562c7674a960C0,"13,533.655861287300000000","15,023.147243009500000000","10,265.164273281300000000"
0xC79717479e7273f381d7e482a6900A3891C2F8f4,"13,515.749560005300000000","15,003.270204351700000000","10,251.582494191500000000"
0x6578a9eb34d51AEc268EaEe1Dbd0c9AcD1964717,"13,312.828932002800000000","14,778.016473625100000000","10,097.668902606700000000"
0x2e7b378D6c069e1F08590C9e9Ed2C38CF2dDc72c,"13,222.615807039000000000","14,677.874643991300000000","10,029.243005210500000000"
0xDEb0804D5e54D49c1923Da459730E66b60EeaD6B,"13,128.141657618400000000","14,573.002828722000000000","9,957.585156561160000000"
0xD6f437d7A5BfFB6D5949a683c4B1c9808F83f4c9,"13,119.054164442200000000","14,562.915181344500000000","9,950.692369331880000000"
0x3891c56531c6Ac9ca7880EFE8a74E0937D88501C,"12,992.292021351800000000","14,422.201810175300000000","9,854.544348738410000000"
0xCe34448192A400305b948c3719Bd9231806e8c0B,"12,900.511058736300000000","14,320.319589317100000000","9,784.929259654970000000"
0xc8D279028c02E9eD954a0a22ED3Fe580a201875F,"12,586.520145641400000000","13,971.771364895000000000","9,546.769789939410000000"
0x55F140Fcf624A61687B660592F3389BeD545b059,"12,528.657432237700000000","13,907.540378659400000000","9,502.881407932790000000"
0x830D4b9c5B7bfB5300CAA1B2881d7dFA23e08859,"12,511.459183832200000000","13,888.449319985700000000","9,489.836681001280000000"
0x6E4Dd1E032c9365B26d1C11F5A2F462aE3897024,"12,367.882374722900000000","13,729.070688961000000000","9,380.934877494030000000"
0x4FDc64C24576D3066C7462bDEC3216f19C78eeB3,"12,329.202019455300000000","13,686.133238906700000000","9,351.596152980840000000"
0x18D7235F5e00DbAE9ea29680Bf53285b79dEB1c9,"11,716.422361172300000000","13,005.912082978000000000","8,886.807930192270000000"
0x7DF10A1De5544F33eC4eED95b732BB85bbac38d2,"11,680.703019367400000000","12,966.261530543400000000","8,859.715109514740000000"
